"customer_id","gender","senior_citizen","partner","dependents","tenure_months","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","avg_monthly_revenue","tenure_bucket","is_monthly_contract","has_fiber_internet","addon_services_count","churn"
"7590-VHVEG","Female",False,True,False,1,False,"No phone service","DSL","No","Yes","No","No","No","No","Month-to-month",True,"Electronic check","29.85","29.85","29.8500000000000000","0-6",True,False,1,False
"5575-GNVDE","Male",False,False,False,34,True,"No","DSL","Yes","No","Yes","No","No","No","One year",False,"Mailed check","56.95","1889.50","55.5735294117647059","24+",False,False,2,False
"3668-QPYBK","Male",False,False,False,2,True,"No","DSL","Yes","Yes","No","No","No","No","Month-to-month",True,"Mailed check","53.85","108.15","54.0750000000000000","0-6",True,False,2,True
"7795-CFOCW","Male",False,False,False,45,False,"No phone service","DSL","Yes","No","Yes","Yes","No","No","One year",False,"Bank transfer (automatic)","42.30","1840.75","40.9055555555555556","24+",False,False,3,False
"9237-HQITU","Female",False,False,False,2,True,"No","Fiber optic","No","No","No","No","No","No","Month-to-month",True,"Electronic check","70.70","151.65","75.8250000000000000","0-6",True,True,0,True
"9305-CDSKC","Female",False,False,False,8,True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month",True,"Electronic check","99.65","820.50","102.5625000000000000","6-12",True,True,3,True
"1452-KIOVK","Male",False,False,True,22,True,"Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month",True,"Credit card (automatic)","89.10","1949.40","88.6090909090909091","13-24",True,True,2,False
"6713-OKOMC","Female",False,False,False,10,False,"No phone service","DSL","Yes","No","No","No","No","No","Month-to-month",False,"Mailed check","29.75","301.90","30.1900000000000000","6-12",True,False,1,False
"7892-POOKP","Female",False,True,False,28,True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month",True,"Electronic check","104.80","3046.05","108.7875000000000000","24+",True,True,4,True
"6388-TABGU","Male",False,False,True,62,True,"No","DSL","Yes","Yes","No","No","No","No","One year",False,"Bank transfer (automatic)","56.15","3487.95","56.2572580645161290","24+",False,False,2,False
"9763-GRSKD","Male",False,True,True,13,True,"No","DSL","Yes","No","No","No","No","No","Month-to-month",True,"Mailed check","49.95","587.45","45.1884615384615385","13-24",True,False,1,False
"7469-LKBCI","Male",False,False,False,16,True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",False,"Credit card (automatic)","18.95","326.80","20.4250000000000000","13-24",False,False,0,False
"8091-TTVAX","Male",False,True,False,58,True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year",False,"Credit card (automatic)","100.35","5681.10","97.9500000000000000","24+",False,True,3,False
"0280-XJGEX","Male",False,False,False,49,True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month",True,"Bank transfer (automatic)","103.70","5036.30","102.7816326530612245","24+",True,True,4,True
"5129-JLPIS","Male",False,False,False,25,True,"No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month",True,"Electronic check","105.50","2686.05","107.4420000000000000","24+",True,True,5,False
"3655-SNQYZ","Female",False,True,True,69,True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year",False,"Credit card (automatic)","113.25","7895.15","114.4224637681159420","24+",False,True,6,False
"8191-XWSZG","Female",False,False,False,52,True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",False,"Mailed check","20.65","1022.95","19.6721153846153846","24+",False,False,0,False
"9959-WOFKT","Male",False,False,True,71,True,"Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year",False,"Bank transfer (automatic)","106.70","7382.25","103.9753521126760563","24+",False,True,4,False
"4190-MFLUW","Female",False,True,True,10,True,"No","DSL","No","No","Yes","Yes","No","No","Month-to-month",False,"Credit card (automatic)","55.20","528.35","52.8350000000000000","6-12",True,False,2,True
"4183-MYFRB","Female",False,False,False,21,True,"No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month",True,"Electronic check","90.05","1862.90","88.7095238095238095","13-24",True,True,3,False
"8779-QRDMV","Male",True,False,False,1,False,"No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month",True,"Electronic check","39.65","39.65","39.6500000000000000","0-6",True,False,2,True
"1680-VDCWW","Male",False,True,False,12,True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",False,"Bank transfer (automatic)","19.80","202.25","16.8541666666666667","6-12",False,False,0,False
"1066-JKSGK","Male",False,False,False,1,True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month",False,"Mailed check","20.15","20.15","20.1500000000000000","0-6",True,False,0,True
"3638-WEABW","Female",False,True,False,58,True,"Yes","DSL","No","Yes","No","Yes","No","No","Two year",True,"Credit card (automatic)","59.90","3505.10","60.4327586206896552","24+",False,False,2,False
"6322-HRPFA","Male",False,True,True,49,True,"No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month",False,"Credit card (automatic)","59.60","2970.30","60.6183673469387755","24+",True,False,3,False
"6865-JZNKO","Female",False,False,False,30,True,"No","DSL","Yes","Yes","No","No","No","No","Month-to-month",True,"Bank transfer (automatic)","55.30","1530.60","51.0200000000000000","24+",True,False,2,False
"6467-CHFZW","Male",False,True,True,47,True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month",True,"Electronic check","99.35","4749.15","101.0457446808510638","24+",True,True,3,True
"8665-UTDHZ","Male",False,True,True,1,False,"No phone service","DSL","No","Yes","No","No","No","No","Month-to-month",False,"Electronic check","30.20","30.20","30.2000000000000000","0-6",True,False,1,True
"5248-YGIJN","Male",False,True,False,72,True,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year",True,"Credit card (automatic)","90.25","6369.45","88.4645833333333333","24+",False,False,6,False
"8773-HHUOZ","Female",False,False,True,17,True,"No","DSL","No","No","No","No","Yes","Yes","Month-to-month",True,"Mailed check","64.70","1093.10","64.3000000000000000","13-24",True,False,2,True
"3841-NFECX","Female",True,True,False,71,True,"Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year",True,"Credit card (automatic)","96.35","6766.95","95.3091549295774648","24+",False,True,4,False
"4929-XIHVW","Male",True,True,False,2,True,"No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month",True,"Credit card (automatic)","95.50","181.65","90.8250000000000000","0-6",True,True,3,False
"6827-IEAUQ","Female",False,True,True,27,True,"No","DSL","Yes","Yes","Yes","Yes","No","No","One year",False,"Mailed check","66.15","1874.45","69.4240740740740741","24+",False,False,4,False
"7310-EGVHZ","Male",False,False,False,1,True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month",False,"Bank transfer (automatic)","20.20","20.20","20.2000000000000000","0-6",True,False,0,False
"3413-BMNZE","Male",True,False,False,1,True,"No","DSL","No","No","No","No","No","No","Month-to-month",False,"Bank transfer (automatic)","45.25","45.25","45.2500000000000000","0-6",True,False,0,False
"6234-RAAPL","Female",False,True,True,72,True,"Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year",False,"Bank transfer (automatic)","99.90","7251.70","100.7180555555555556","24+",False,True,4,False
"6047-YHPVI","Male",False,False,False,5,True,"No","Fiber optic","No","No","No","No","No","No","Month-to-month",True,"Electronic check","69.70","316.90","63.3800000000000000","0-6",True,True,0,True
