feature,coefficient,abs_coefficient
num__tenure_months,-0.6676410449815333,0.6676410449815333
cat__contract_Two year,-0.639580623587062,0.639580623587062
cat__tenure_bucket_0-6,0.6004524044516968,0.6004524044516968
cat__has_fiber_internet_False,-0.44198033779341817,0.44198033779341817
cat__is_monthly_contract_False,-0.43286542410248635,0.43286542410248635
num__monthly_charges,-0.36163183486699924,0.36163183486699924
cat__tenure_bucket_24+,-0.32715349769681523,0.32715349769681523
cat__tenure_bucket_13-24,-0.3205515820798157,0.3205515820798157
cat__paperless_billing_False,-0.2777159920103116,0.2777159920103116
cat__multiple_lines_No,-0.2640167701198978,0.2640167701198978
cat__internet_service_DSL,-0.25698450663926764,0.25698450663926764
cat__internet_service_Fiber optic,0.24284886410461376,0.24284886410461376
cat__has_fiber_internet_True,0.24284886410461376,0.24284886410461376
cat__is_monthly_contract_True,0.233733950413711,0.233733950413711
cat__contract_Month-to-month,0.233733950413711,0.233733950413711
cat__senior_citizen_False,-0.20940379423782585,0.20940379423782585
cat__contract_One year,0.20671519948457148,0.20671519948457148
cat__payment_method_Electronic check,0.20072718110178053,0.20072718110178053
cat__streaming_tv_No internet service,-0.18499583115415136,0.18499583115415136
cat__online_backup_No internet service,-0.18499583115415136,0.18499583115415136
cat__streaming_movies_No internet service,-0.18499583115415136,0.18499583115415136
cat__tech_support_No internet service,-0.18499583115415136,0.18499583115415136
cat__device_protection_No internet service,-0.18499583115415136,0.18499583115415136
cat__online_security_No internet service,-0.18499583115415136,0.18499583115415136
cat__internet_service_No,-0.18499583115415136,0.18499583115415136
cat__online_security_Yes,-0.18325326645296058,0.18325326645296058
cat__tech_support_Yes,-0.1763412237106297,0.1763412237106297
cat__streaming_movies_No,-0.17513838944329854,0.17513838944329854
cat__payment_method_Mailed check,-0.17397791734361717,0.17397791734361717
cat__online_security_No,0.1691176239182995,0.1691176239182995
cat__dependents_True,-0.16701961574898927,0.16701961574898927
cat__streaming_tv_No,-0.16617423478950766,0.16617423478950766
cat__tech_support_No,0.16220558117594833,0.16220558117594833
cat__streaming_movies_Yes,0.16100274690862526,0.16100274690862526
cat__payment_method_Credit card (automatic),-0.15782983082243382,0.15782983082243382
num__total_charges,0.1548479786075524,0.1548479786075524
cat__streaming_tv_Yes,0.15203859225485203,0.15203859225485203
cat__tenure_bucket_6-12,-0.15187879836386645,0.15187879836386645
cat__phone_service_True,-0.1449024288098609,0.1449024288098609
num__addon_services_count,0.13915329267808987,0.13915329267808987
cat__multiple_lines_Yes,0.11911434131002012,0.11911434131002012
cat__gender_Male,-0.10990548983520294,0.10990548983520294
cat__partner_False,-0.10975244315290514,0.10975244315290514
cat__partner_True,-0.08937903053588052,0.08937903053588052
cat__gender_Female,-0.08922598385360646,0.08922598385360646
cat__online_backup_Yes,-0.08701653729910962,0.08701653729910962
cat__paperless_billing_True,0.07858451832148065,0.07858451832148065
cat__online_backup_No,0.07288089476448201,0.07288089476448201
cat__payment_method_Bank transfer (automatic),-0.06805090662455102,0.06805090662455102
cat__multiple_lines_No phone service,-0.05422904487893161,0.05422904487893161
cat__phone_service_False,-0.05422904487893161,0.05422904487893161
cat__dependents_False,-0.03211185793984497,0.03211185793984497
cat__device_protection_Yes,-0.015149593881621331,0.015149593881621331
cat__senior_citizen_True,0.010272320549036382,0.010272320549036382
cat__device_protection_No,0.001013951346949839,0.001013951346949839
num__avg_monthly_revenue,0.0006704354702105932,0.0006704354702105932
